79742000,79742970,11,MS,AMANDINA
87850000,87859999,6,PR,AMAPORA
96635000,96639999,8,RS,AMARALFERRADOR
76493000,76494999,12,GO,AMARALINA
13465001,13479999,6,SP,AMERICANA
76165000,76169999,10,GO,AMERICANODOBRASIL
14820000,14824999,6,SP,AMERICOBRASILIENSE
15550000,15559999,6,SP,AMERICODECAMPOS
98465000,98469999,6,RS,AMETISTADOSUL
76140000,76144999,12,GO,AMORINOPOLIS
13900001,13909999,5,SP,AMPARO
35444000,35446999,16,MG,AMPARODASERRA
85640000,85649999,4,PR,AMPERE
85425000,85429999,5,PR,ANAHY
13550000,13559999,6,SP,ANALANDIA
75000001,75159999,6,GO,ANAPOLIS
79210000,79214999,8,MS,ANASTACIO
79770000,79779999,11,MS,ANAURILANDIA
89970000,89979999,8,SC,ANCHIETA
86380000,86384999,6,PR,ANDIRA
37795000,37799999,5,MG,ANDRADAS
16900001,16919999,4,SP,ANDRADINA
95310000,95314999,5,RS,ANDREDAROCHA
37300000,37304999,10,MG,ANDRELANDIA
39207000,39207999,16,MG,ANDREQUICE
18240000,18244999,5,SP,ANGATUBA
39685000,39687999,18,MG,ANGELANDIA
79785000,79789999,12,MS,ANGELICA
88460000,88469999,6,SC,ANGELINA
23900001,23969999,7,RJ,ANGRADOSREIS
86755000,86759999,6,PR,ANGULO
75770000,75779999,12,GO,ANHANGUERA
18620000,18639999,8,SP,ANHEMBI
19580000,19589999,6,SP,ANHUMAS
76170000,76179999,10,GO,ANICUNS
88590000,88597999,7,SC,ANITAGARIBALDI
88475000,88484999,6,SC,ANITAPOLIS
95980000,95984999,8,RS,ANTAGORDA
83370000,83389999,4,PR,ANTONINA
36220000,36224999,9,MG,ANTONIOCARLOS
35177000,35178999,18,MG,ANTONIODIAS
79910000,79919999,13,MS,ANTONIOJOAO
83980000,83999999,8,PR,ANTONIOOLINTO
35411000,35411999,6,MG,ANTONIOPEREIRA
95250000,95254999,6,RS,ANTONIOPRADO
36850000,36854999,16,MG,ANTONIOPRADODEMINAS
12570000,12579999,7,SP,APARECIDA
74900001,74999999,7,GO,APARECIDADEGOIANIA
18655000,18655970,5,SP,APARECIDADESAOMANUEL
75827000,75827999,10,GO,APARECIDADORIODOCE
79570000,79579999,5,MS,APARECIDADOTABOADO
15735000,15739999,6,SP,APARECIDADOESTE
28495000,28499999,10,RJ,APERIBE
29450000,29459999,10,ES,APIACA
78595000,78599999,12,MT,APIACAS
18320000,18324999,5,SP,APIAI
89135000,89135999,6,SC,APIUNA
75825000,75826999,12,GO,APORE
86800001,86819999,6,PR,APUCARANA
79200000,79209999,8,MS,AQUIDAUANA
17925000,17925000,6,SP,ARABELA
89740000,89744999,8,SC,ARABUTA
35777000,35779999,10,MG,ARACAI
18147000,18149999,6,SP,ARACARIGUAMA
16000001,16129999,6,SP,ARACATUBA
29278000,29278999,8,ES,ARACE
36255000,36259999,15,MG,ARACITABA
18190000,18194999,6,SP,ARACOIABADASERRA
29190001,29199999,10,ES,ARACRUZ
75410000,75419999,10,GO,ARACU
39600000,39609999,18,MG,ARACUAI
76240000,76244999,10,GO,ARAGARCAS
75360000,75369999,10,GO,ARAGOIANIA
29258000,29258982,12,ES,ARAGUAIA
78685000,78689999,15,MT,ARAGUAIANA
78615000,78619999,15,MT,ARAGUAINHA
76720000,76729999,10,GO,ARAGUAPAZ
38440001,38459999,7,MG,ARAGUARI
79930000,79934999,9,MS,ARALMOREIRA
96178000,96179999,8,RS,ARAMBARE
14550000,14569999,5,SP,ARAMINA
18710000,18719999,6,SP,ARANDU
37360000,37369999,10,MG,ARANTINA
12870000,12899999,9,SP,ARAPEI
36594000,36599999,16,MG,ARAPONGA
86700001,86719999,6,PR,ARAPONGAS
38465000,38469999,7,MG,ARAPORA
84990000,84999999,6,PR,ARAPOTI
86884000,86889999,5,PR,ARAPUA
78260000,78264999,11,MT,ARAPUTANGA
89245000,89246999,6,SC,ARAQUARI
88900001,88913999,4,SC,ARARANGUA
14800001,14812999,6,SP,ARARAQUARA
13600001,13609999,4,SP,ARARAS
93880000,93889999,5,RS,ARARICA
28970000,28989999,8,RJ,ARARUAMA
87260000,87264999,6,PR,ARARUNA
99770000,99789999,6,RS,ARATIBA
83700001,83729999,6,PR,ARAUCARIA
35603000,35603999,6,MG,ARAUJOS
38180001,38184999,5,MG,ARAXA
13900000,13909999,5,SP,ARCADAS
37820000,37854999,7,MG,ARCEBURGO
17630000,17649999,8,SP,ARCOIRIS
35588000,35589999,7,MG,ARCOS
37140000,37141999,5,MG,AREADO
25845000,25849999,10,RJ,AREAL
17160000,17179999,7,SP,AREALVA
83810000,83810999,4,PR,AREIABRANCADOSASSIS
12820000,12829999,9,SP,AREIAS
18670000,18674999,5,SP,AREIOPOLIS
78420000,78424999,13,MT,ARENAPOLIS
76235000,76239999,12,GO,ARENOPOLIS
36710000,36719999,15,MG,ARGIRITA
39678000,39679999,18,MG,ARICANDUVA
38680000,38689999,18,MG,ARINOS
78325000,78329999,13,MT,ARIPUANA
76870001,76879999,10,RO,ARIQUEMES
15960000,15969999,6,SP,ARIRANHA
